"Story","Title","Result","Date","Stability","Duration (s)"
"Handling sliders","To illustrate how to handle the sliders using the withActions API method called dragAndDropBy(WebElement,x-axis,y-axis)","SUCCESS","2021-01-21T16:17:22.783+05:30[Asia/Calcutta]","0.0","21.64"
"Handling sliders","Move the slider to the max","SUCCESS","2021-01-21T16:17:45.755+05:30[Asia/Calcutta]","0.0","15.14"
